Model,Scenario,Resolution,Steps,PerImageTime,FID,E_N,E_S,Mu,Rho
Model A,Scenario 1 (Heavy),512,10,0.537,161.33,410.0,220.17000000000002,0.0045419448607893894,0.6605100000000002
Model A,Scenario 1 (Heavy),512,20,0.80655,159.8,410.0,330.6855,0.003024021313302216,0.9920565
Model A,Scenario 1 (Heavy),512,30,1.09376,152.03,410.0,448.44160000000005,0.0022299447687279678,1.3453248000000002
Model A,Scenario 1 (Heavy),512,40,1.39018,159.7,410.0,569.9738,0.0017544666088160543,1.7099214
Model A,Scenario 1 (Heavy),512,50,1.7004,150.73,410.0,697.164,0.0014343827277369457,2.091492
Model A,Scenario 1 (Heavy),256,10,0.356779,406.71,410.0,146.27939,0.00683623304691112,0.43883817
Model A,Scenario 1 (Heavy),256,20,0.597962,282.52,410.0,245.16442,0.004078895298102392,0.73549326
Model A,Scenario 1 (Heavy),256,30,0.84998,254.33,410.0,348.49179999999996,0.0028695079769452255,1.0454754
Model A,Scenario 1 (Heavy),256,40,1.1902,234.16,410.0,487.98199999999997,0.0020492559151771995,1.4639459999999997
Model A,Scenario 1 (Heavy),256,50,1.44889,239.56,410.0,594.0449,0.0016833744385314983,1.7821346999999998
Model B,Scenario 1 (Heavy),128,10,0.24116,203.95,410.0,98.8756,0.010113718652529037,0.2966268
Model B,Scenario 1 (Heavy),128,20,0.4755,200.22,410.0,194.95499999999998,0.00512938883332051,0.584865
Model B,Scenario 1 (Heavy),128,30,0.7345,199.35,410.0,301.14500000000004,0.003320659482973318,0.9034350000000001
Model B,Scenario 1 (Heavy),128,40,0.9538,193.3,410.0,391.058,0.0025571654332605396,1.173174
Model B,Scenario 1 (Heavy),128,50,1.1883,188.17,410.0,487.203,0.0020525325172464047,1.461609
Model B,Scenario 1 (Heavy),256,10,0.9585,170.61,410.0,392.985,0.0025446263852309885,1.178955
Model B,Scenario 1 (Heavy),256,20,1.2475,166.5,410.0,511.475,0.001955129771738599,1.5344250000000001
Model B,Scenario 1 (Heavy),256,30,1.4811,165.38,410.0,607.2510000000001,0.0016467655055323084,1.8217530000000004
Model B,Scenario 1 (Heavy),256,40,1.6741,161.12,410.0,686.381,0.001456916785283975,2.059143
Model B,Scenario 1 (Heavy),256,50,1.8123,158.35,410.0,743.043,0.0013458171330595942,2.229129
Model A,Scenario 2 (Normal),512,10,0.537,161.33,225.0,120.825,0.008276432857438443,0.36247500000000005
Model A,Scenario 2 (Normal),512,20,0.80655,159.8,225.0,181.47375,0.005510438837572927,0.54442125
Model A,Scenario 2 (Normal),512,30,1.09376,152.03,225.0,246.096,0.004063454911904297,0.738288
Model A,Scenario 2 (Normal),512,40,1.39018,159.7,225.0,312.7905,0.0031970280427314765,0.9383715000000001
Model A,Scenario 2 (Normal),512,50,1.7004,150.73,225.0,382.59,0.00261376408165399,1.14777
Model A,Scenario 2 (Normal),256,10,0.356779,406.71,225.0,80.27527500000001,0.012457135774371372,0.24082582500000005
Model A,Scenario 2 (Normal),256,20,0.597962,282.52,225.0,134.54145,0.007432653654319914,0.40362435
Model A,Scenario 2 (Normal),256,30,0.84998,254.33,225.0,191.2455,0.005228881202433522,0.5737365
Model A,Scenario 2 (Normal),256,40,1.1902,234.16,225.0,267.79499999999996,0.0037341996676562303,0.8033849999999999
Model A,Scenario 2 (Normal),256,50,1.44889,239.56,225.0,326.00025,0.0030674823102129524,0.97800075
Model B,Scenario 2 (Normal),128,10,0.24116,203.95,225.0,54.261,0.0184294428779418,0.162783
Model B,Scenario 2 (Normal),128,20,0.4755,200.22,225.0,106.9875,0.00934688631849515,0.32096250000000004
Model B,Scenario 2 (Normal),128,30,0.7345,199.35,225.0,165.26250000000002,0.006050979502306935,0.49578750000000005
Model B,Scenario 2 (Normal),128,40,0.9538,193.3,225.0,214.605,0.004659723678385872,0.643815
Model B,Scenario 2 (Normal),128,50,1.1883,188.17,225.0,267.3675,0.0037401703647601146,0.8021025
Model B,Scenario 2 (Normal),256,10,0.9585,170.61,225.0,215.6625,0.004636874746420912,0.6469875
Model B,Scenario 2 (Normal),256,20,1.2475,166.5,225.0,280.6875,0.0035626809173903364,0.8420624999999999
Model B,Scenario 2 (Normal),256,30,1.4811,165.38,225.0,333.2475,0.003000772698969985,0.9997425
Model B,Scenario 2 (Normal),256,40,1.6741,161.12,225.0,376.67249999999996,0.002654826142073021,1.1300175
Model B,Scenario 2 (Normal),256,50,1.8123,158.35,225.0,407.7675,0.002452377886908594,1.2233025
